0,description,topic,tech
Open Genome Informatics,Open access genomics and bioinformatics projects,"['genomics', 'bioinformatics', 'cloud', 'biology', 'data discovery']","['python', 'mysql', 'react', 'r-project', 'graph']"
AOSSIE,Australian Umbrella Org for Open-Source Projects,"['machine learning', 'electronic voting', 'natural language processing', 'social science']","['python', 'javascript', 'machine learning', 'scala', 'Blockchain']"
CHAOSS,Community Health Analytics Open Source Software,"['Diversity Equity and Inclusion', 'open source software metrics', 'software sustainability', 'community building', 'security and software bill of materials']","['python', 'postgresql', 'javascript', 'machine learning', 'airflow']"
Neutralinojs,Lightweight cross-platform desktop app framework,"['desktop', 'framework', 'cross-platform', 'Application Development']","['c', 'javascript', 'node.js', 'c++', 'typescript']"
RADAR-base,Improve people's quality of life using patient generated data,"['web', 'mhealth', 'remote patient monitoring', 'micro-services', 'devices']","['java', 'kotlin', 'docker', 'angular', 'kafka']"
The NetBSD Foundation,Of course it runs NetBSD,"['kernel', 'packaging', 'userland', 'unix', 'bsd']","['c', 'shell script', 'make', 'unix', 'bsd']"
rocket.chat,Open source team chat and communications platform,"['communications', 'messaging', 'group chat', 'Team Collaboration', 'Chat platform']","['javascript', 'raspberry pi', 'typescript', 'node', 'meteorJS']"
"Department of Biomedical Informatics, Emory University",Biomedical research to advance healthcare,"['science and medicine', 'data integration', 'workflows', 'radiology', 'distributed system']","['python', 'javascript', 'java', 'workflows', 'dicom']"
TARDIS RT Collaboration,Exploring supernovae made easy,"['visualization', 'big data', 'simulation', 'astrophysics']","['python', 'numba', 'numpy', 'jupyter', 'pandas']"
OSGeo (Open Source Geospatial Foundation),The Open Source Geospatial Foundation,"['open science', 'gis', 'citizen science', 'geolocation', 'mapping']","['c', 'python', 'javascript', 'java', 'c++']"
MBDyn,Open Source Multibody Simulation,"['robotics', 'scientific computing', 'multibody dynamics', 'aeroelasticity', 'Structural engineering']","['python', 'c++']"
Drupal Association,The best open source digital experience platform,"['web', 'cloud', 'DXP', 'Massive community', 'Inclusive']","['mysql', 'javascript', 'html', 'php', 'symfony']"
Mathesar,Webapp providing a UX-first interface to databases,"['databases', 'web', 'data', 'nonprofit', 'self-hosted']","['python', 'postgresql', 'javascript', 'django', 'svelte']"
Ceph,The Future of Storage,"['distributed systems', 'Software-Defined-Storage']","['python', 'javascript', 'c++']"
